corrected_at_inspection,correction_deadline,correction_verified,date,facility_id,narrative_id,risk_level,source,standard,corrected_on_time
No,2015-01-13 00:00:00,2015-01-12 00:00:00,2015-01-06 00:00:00,262483,977807014,Medium,Monitoring Inspections,749.1301(a) - Preliminary Service Planning-Complete a preliminary service plan that addresses child's immediate needs within 72 hours of admission,True
Yes,2015-01-06 00:00:00,,2015-01-06 00:00:00,262483,977912443,Low,Monitoring Inspections,749.1109(3) - Placement Agreement-Includes the reason for placement and the anticipated length of time in care,True
Yes,2015-01-06 00:00:00,,2015-01-06 00:00:00,262483,977876714,Low,Monitoring Inspections,749.1371(1) - Discharge or Transfer Summary-Must include date and circumstances of the discharge or transfer,True
No,2014-11-12 00:00:00,2014-11-11 00:00:00,2014-10-21 00:00:00,262483,978067454,Medium High,Reports,749.1003(b)(6) - Children's rights-Adhere to the child's right to discipline that is appropriate to the child's age and developmental level,True
No,2014-11-10 00:00:00,2014-11-07 00:00:00,2014-10-09 00:00:00,262483,978067445,High,Reports,"749.607(1) - Employee and caregiver responsibilities-Competency, prudent judgment, self-control in presence of children and when performing assigned tasks",True
No,2014-10-15 00:00:00,2014-10-13 00:00:00,2014-09-16 00:00:00,262483,978067440,Medium High,Reports,749.3029 - Bedrooms-Child 6 years old or older must not share bedroom w/ person of opposite sex unless sharing w/ his parent or if both children non-ambulatory,True
No,2014-10-15 00:00:00,2014-10-13 00:00:00,2014-09-16 00:00:00,262483,978067439,High,Reports,"749.607(1) - Employee and caregiver responsibilities-Competency, prudent judgment, self-control in presence of children and when performing assigned tasks",True
No,2014-09-12 00:00:00,2014-09-12 00:00:00,2014-09-09 00:00:00,262483,977980644,High,Monitoring Inspections,"745.626(b) - Background check results - When FBI required, must receive FBI result prior to allowing unsupervised contact or direct access to children in care",True
No,2014-09-17 00:00:00,2014-09-23 00:00:00,2014-09-08 00:00:00,262483,978067435,High,Reports,"749.1957(6) - Other Prohibited Discipline-Pinching, pulling hair, biting, or shaking a child",False
No,2014-09-17 00:00:00,2014-09-23 00:00:00,2014-09-08 00:00:00,262483,978067434,High,Reports,"749.1953(a) - Corporal Punishment-May not use/threaten corporal punishment, such as hitting/spanking, forced exercise, holding physical position, unproductive work.",False
No,2014-09-11 00:00:00,2014-09-05 00:00:00,2014-09-04 00:00:00,262483,977837606,Medium High,Monitoring Inspections,"749.1541(a) - Medication Record-Maintain cumulative record of prescription medications dispensed to child, include nonprescription meds for child under five yrs old",True
No,2014-08-29 00:00:00,2014-08-26 00:00:00,2014-08-22 00:00:00,262483,977911371,High,Monitoring Inspections,749.1463(b)(5) - Administration of Medication-Ensure the child has taken the medication as prescribed,True
No,2014-10-06 00:00:00,2014-09-30 00:00:00,2014-08-16 00:00:00,262483,978067427,Medium High,Reports,749.2593(c)(6) - Supervision-Caregivers counted in child/caregiver ratio must implement and follow the children's service plans,True
No,2014-08-06 00:00:00,2014-08-04 00:00:00,2014-07-15 00:00:00,262483,978067425,Medium High,Reports,"749.1957(8) - Other Prohibited Discipline-Humiliating, shaming, ridiculing, rejecting, or yelling at a child",True
No,2014-08-29 00:00:00,2014-08-28 00:00:00,2014-07-02 00:00:00,262483,978067422,Medium High,Reports,749.3061(a) - Feeding Children-must give children food of adequate quality and quantity necessary for proper growth and development,True
No,2014-05-13 00:00:00,2014-05-06 00:00:00,2014-05-03 00:00:00,262483,978067412,Medium High,Reports,749.1521(7) - Medication Destruction-Remove discontinued medication immediately & store it in separate locked area until destroyed,True
No,2014-04-23 00:00:00,2014-04-23 00:00:00,2014-04-21 00:00:00,262483,978127514,High,Assessments,"745.615(a)(7) - Required background checks-Persons 14 years or older, other than clients, who will regularly or frequently be present while children are in care",True
No,2014-04-04 00:00:00,2014-03-28 00:00:00,2014-03-19 00:00:00,262483,978067404,High,Reports,"749.1953(a) - Corporal Punishment-May not use/threaten corporal punishment, such as hitting/spanking, forced exercise, holding physical position, unproductive work.",True
No,2014-02-12 00:00:00,2014-02-12 00:00:00,2014-02-10 00:00:00,262483,977833037,Low,Monitoring Inspections,749.2471(9)(E) - Verification Certificate-Specifies the ages and gender(s) of foster children for which the home is verified,True
No,2014-02-17 00:00:00,2014-02-12 00:00:00,2014-02-10 00:00:00,262483,977938692,High,Monitoring Inspections,"749.983 - First-aid-CPR renewal-Each caregiver must complete any new first-aid training or CPR training, as required to maintain a current certification",True
No,2014-02-12 00:00:00,2014-02-12 00:00:00,2014-01-10 00:00:00,262483,978067394,High,Reports,"749.1401(a)(2) - General medical requirements-A child in care must receive medical care as needed for injury, illness, and pain",True
No,2014-01-23 00:00:00,2014-01-22 00:00:00,2013-11-26 00:00:00,262483,978067383,Medium,Reports,749.1003(b)(5)(G) - Children's rights-Adhere to the child's rights to be free from being threatened with the loss of placement or shelter as punishment,True
No,2013-10-11 00:00:00,2013-10-04 00:00:00,2013-10-03 00:00:00,262483,977754657,High,Monitoring Inspections,749.1521(4) - Medication Storage-Store medication covered by Schedule II of the Texas Controlled Substances Act under double lock in a separate container,True
No,2013-11-14 00:00:00,2013-11-14 00:00:00,2013-09-18 00:00:00,262483,978067381,Medium High,Reports,749.503(a)(2)(A) - Serious Incident-Report to Licensing critical injury or illness that warrants treatment by a medical professional/hospitalization,True
No,2013-11-14 00:00:00,2013-11-14 00:00:00,2013-09-18 00:00:00,262483,978067377,Medium High,Reports,749.1501(3) - Medication Self-Administration-Must consult health-care professional who prescribed medication and document his/her concerns in child's record,True
No,2013-11-14 00:00:00,2013-11-14 00:00:00,2013-09-18 00:00:00,262483,978067378,High,Reports,"749.607(1) - Employee and caregiver responsibilities-Competency, prudent judgment, self-control in presence of children and when performing assigned tasks",True
No,2013-08-16 00:00:00,2013-08-13 00:00:00,2013-07-22 00:00:00,262483,978067367,High,Reports,"749.1953(a) - Corporal Punishment-May not use/threaten corporal punishment, such as hitting/spanking, forced exercise, holding physical position, unproductive work.",True
No,2013-05-03 00:00:00,2013-04-30 00:00:00,2013-04-26 00:00:00,262483,978124606,High,Assessments,"749.3133(g) - Swimming Pools-at least two life-saving devices available, 1 additional life-saving device must be available for each 2,000 sq ft of water surface",True
No,2014-12-18 00:00:00,2015-01-08 00:00:00,2014-11-11 00:00:00,149755,978051614,Medium High,Reports,749.3073(a) - Nutrition for PMN-caregivers must feed a child with primary medical needs according to his medical and developmental needs,False
No,2014-09-30 00:00:00,2014-09-30 00:00:00,2014-08-19 00:00:00,149755,978051602,Medium High,Reports,"749.2655(2)(A) - Notification-Home must notify agency of marriage, divorce, death, birth, any change in household before change occurs or immediately upon discovery",True
No,2014-09-30 00:00:00,2014-09-30 00:00:00,2014-08-19 00:00:00,149755,978051601,Medium High,Reports,749.2557(a) - Capacity-Foster homes may not exceed the total capacity stated on the home's verification,True
No,2014-09-19 00:00:00,2014-09-30 00:00:00,2014-08-19 00:00:00,149755,978051603,High,Reports,"745.625(a)(5) - Initial background checks submitted - At the time a non-client resident 14 or older lives or moves into your home, or non-client resident turns 14",False
No,2014-08-12 00:00:00,2014-08-12 00:00:00,2014-08-05 00:00:00,149755,978023156,Medium,Monitoring Inspections,749.1301(a) - Preliminary Service Planning-Complete a preliminary service plan that addresses child's immediate needs within 72 hours of admission,True
No,2014-05-29 00:00:00,2014-06-20 00:00:00,2014-04-23 00:00:00,149755,978051569,High,Reports,"749.1953(a) - Corporal Punishment-May not use/threaten corporal punishment, such as hitting/spanking, forced exercise, holding physical position, unproductive work.",False
No,2014-06-06 00:00:00,2014-09-23 00:00:00,2014-03-29 00:00:00,149755,978051548,High,Self Reported Incidents,"745.615(a)(6)(D) - Required background check-Each persons at least 14 years of age, other than a client in care, who resides at the operation",False
No,2014-03-14 00:00:00,2014-09-23 00:00:00,2014-01-18 00:00:00,149755,978051517,Medium High,Reports,"749.1957(8) - Other Prohibited Discipline-Humiliating, shaming, ridiculing, rejecting, or yelling at a child",False
No,2014-03-14 00:00:00,2014-09-23 00:00:00,2014-01-18 00:00:00,149755,978051514,High,Reports,"745.615(a)(6)(D) - Required background check - Each person at least 14 years of age, other than a client in care, who resides at the operation",False
No,2014-02-21 00:00:00,2014-09-23 00:00:00,2013-10-11 00:00:00,149755,978051500,High,Reports,"749.1957(6) - Other Prohibited Discipline-Pinching, pulling hair, biting, or shaking a child",False
No,2013-10-04 00:00:00,2014-09-23 00:00:00,2013-08-09 00:00:00,149755,978051479,Low,Reports,749.353(11) - Babysitter and Respite child-care provider policies-Include requirements for documentation of arrangements and child placement staff review/approval,False
No,2013-07-30 00:00:00,2013-07-26 00:00:00,2013-07-16 00:00:00,149755,977819874,Medium High,Monitoring Inspections,749.2913(b)(1) - Fire Extinguisher-The fire extinguisher(s) must be serviced or replaced after each use,True
No,2014-01-24 00:00:00,2014-02-28 00:00:00,2013-05-07 00:00:00,149755,978051447,Medium High,Self Reported Incidents,749.2593(c)(6) - Supervision-Caregivers counted in child/caregiver ratio must implement and follow the children's service plans,False
No,2014-01-24 00:00:00,2014-02-28 00:00:00,2013-05-07 00:00:00,149755,978051445,High,Self Reported Incidents,749.2593(a)(2) - Supervision-The caregiver is responsible for being aware of and accountable for each child's on-going activity,False
No,2013-06-10 00:00:00,2013-07-01 00:00:00,2013-04-30 00:00:00,149755,978051444,Medium High,Self Reported Incidents,749.2557(a) - Capacity-Foster homes may not exceed the total capacity stated on the home's verification,False
No,2013-03-01 00:00:00,2014-09-23 00:00:00,2013-02-28 00:00:00,149755,977992114,High,Monitoring Inspections,749.1521(1) - Medication Storage-Store medication in a locked container,False
No,2015-02-05 00:00:00,2015-02-05 00:00:00,2015-01-22 00:00:00,294002,977878516,Medium Low,Monitoring Inspections,749.945(2) - Annual Training-Caregiver that administers psychotropic medication must receive annual psychotropic medication training every 12 months,True
No,2015-02-05 00:00:00,2015-02-05 00:00:00,2015-01-22 00:00:00,294002,978020146,Medium High,Monitoring Inspections,749.2801(a)(2) - Evaluating a Foster Home-must evaluate a home for compliance with relevant rules whenever there is a major life change in the foster family,True
No,2015-02-05 00:00:00,2015-02-05 00:00:00,2015-01-22 00:00:00,294002,977808789,Medium High,Monitoring Inspections,749.2815(a)(3) - Supervisory Visits-must have supervisory visits with all household members at least once every year.,True
No,2015-02-05 00:00:00,2015-02-05 00:00:00,2015-01-22 00:00:00,294002,978020144,Medium,Monitoring Inspections,"749.1417(a) - TB exam-Persons over 1 yr old who live, work, volunteer at operation have exam w/in 30 days, unless person had previous exam that meets requirements",True
No,2015-02-05 00:00:00,2015-02-05 00:00:00,2015-01-22 00:00:00,294002,977808787,Low,Monitoring Inspections,749.535(a)(2) - Active records-All documentation in the record within 15 days from the end of the month for monthly summaries,True
No,2015-02-05 00:00:00,2015-02-05 00:00:00,2015-01-22 00:00:00,294002,978020145,High,Monitoring Inspections,749.2903(c) - Fire Inspection-FFH not serving PMN children must correct deficiencies and comply with any conditions or restrictions,True
No,2015-01-26 00:00:00,2015-02-05 00:00:00,2015-01-22 00:00:00,294002,978020143,High,Monitoring Inspections,"745.661 - Take appropriate action for a conviction or finding, must remove person from operation, restrict duties, and/or request a Risk Eval
",False
No,2015-02-05 00:00:00,2015-02-05 00:00:00,2015-01-22 00:00:00,294002,978020142,High,Monitoring Inspections,"749.931(a)(2)(A) - Annual Training-50 hrs with 8 hrs EBI for 2 foster parents, 2 hrs each parent specific to trauma informed care; each parent gets some training",True
No,2014-12-29 00:00:00,2014-12-29 00:00:00,2014-11-04 00:00:00,294002,978061531,Medium,Reports,"749.3069(b) - Food Choices-caregiver must offer a child in care food choices comparable to what adults are eating, unless medically contraindicated",True
No,2014-08-22 00:00:00,2014-08-12 00:00:00,2014-07-12 00:00:00,294002,978061522,Medium High,Reports,"749.947(d) - Annual Training emergency behavior intervention-As applicable, caregiver must receive EBI training every 12 months",True
No,2014-08-12 00:00:00,2014-08-12 00:00:00,2014-07-12 00:00:00,294002,978061521,High,Reports,"749.607(1) - Employee and caregiver responsibilities-Competency, prudent judgment, self-control in presence of children and when performing assigned tasks",True
No,2014-06-06 00:00:00,2014-06-23 00:00:00,2014-05-06 00:00:00,294002,978061509,High,Reports,"749.1953(a) - Corporal Punishment-May not use/threaten corporal punishment, such as hitting/spanking, forced exercise, holding physical position, unproductive work.",False
No,2014-03-24 00:00:00,2014-04-02 00:00:00,2014-03-14 00:00:00,294002,978127171,High,Assessments,749.2904(a) - Fire Inspection-FFH serving PMN children or FGH must have fire inspection by certified inspector,False
