administrator_director_name,adverse_action,conditions_on_permit,corrective_action,county,days_of_operation,email_address,facility_id,hours_of_operation,issuance_date,licensed_to_serve_ages,location_address,mailing_address,n_assessments,n_defic_high,n_defic_low,n_defic_medium,n_defic_medium_high,n_defic_medium_low,n_inspections,n_reports,n_self_reported_incidents,n_standards,open_branch_offices,open_foster_homes,operation_caregiver_name,operation_number,operation_type,other_schedule_information,phone_number,programmatic_services,temporarily_closed,treatment_services,type_of_issuance,website_address
Rebecca Allen,No,-,No,HARRIS,,,294002,,-,-,"2323 S VOSS RD STE 510 HOUSTON, TX 77057","2323 S VOSS RD STE 510 HOUSTON, TX 77057",2,13,1,3,5,1,41,18,8,2960,-,41,A World For Children,526950-428-9,Child Placing Agency  (Branch),,713-622-5353,,No,,,
Rebecca Allen,No,-,No,SMITH,,,279146,,-,-,"1412 W SOUTHWEST LOOP 323 TYLER, TX 75701","1412 W SOUTHWEST LOOP 323 TYLER, TX 75701",0,0,0,3,3,0,12,6,4,904,-,16,A World For Children,526950-428-8,Child Placing Agency  (Branch),,903-581-1553,,No,,,
Rebecca Allen,No,-,No,BROWN,,,270422,,-,-,"504 CENTER AVE BROWNWOOD, TX 76801","504 CENTER AVE BROWNWOOD, TX 76801",1,6,0,2,1,1,27,13,8,2464,-,46,A World For Children,526950-428-7,Child Placing Agency  (Branch),,325-641-1055,,No,,,
Rebecca Allen,No,-,No,DALLAS,,,240389,,-,-,"4600 GREENVILLE AVE STE 160 DALLAS, TX 75206","4600 GREENVILLE AVE STE 160 DALLAS, TX 75206",1,12,0,7,17,5,46,27,4,6347,-,63,A World for Children,526950-428-2,Child Placing Agency  (Branch),,972-616-0095,,No,,,
Rebecca Allen,No,-,No,HIDALGO,,,240392,,-,-,"2917 N 23RD ST MCALLEN, TX 78501","2917 N 23RD ST MCALLEN, TX 78501",0,9,2,8,21,6,92,37,22,2800,-,42,A World For Children,526950-428-3,Child Placing Agency  (Branch),,956-683-9917,,No,,,
Floyd Contreras,No,No,No,BEXAR,"Tues, Wed, Thurs",abc.adoption@yahoo.com,102290,10:00 AM-04:00 PM,2/13/1987,-,"417 SAN PEDRO AVE SAN ANTONIO, TX 78212","417 SAN PEDRO AVE SAN ANTONIO, TX 78212",0,0,0,1,0,0,3,0,0,4849,0,1,ABC Adoption Agency Inc,219024-271,Child Placing Agency-Adoption Services,,210-227-7820,Child Care,No,,Full Permit,
Stella Maggs,No,-,No,TARRANT,,,1019168,,-,-,"3291 W PIONEER PKWY PANTEGO, TX 76013","3291 W PIONEER PKWY PANTEGO, TX 76013",2,10,0,6,5,2,50,31,1,1934,-,71,ACH Child and Family Services,236098-323-1,Child Placing Agency  (Branch),,682-808-5050,,No,,,www.achservices.org
Stella Maggs,No,No,No,TARRANT,,,104784,-,4/12/1988,-,"3712 WICHITA ST FORT WORTH, TX 76119","3712 WICHITA ST FORT WORTH, TX 76119",2,10,1,8,9,4,47,29,3,2510,1,74,ACH Child and Family Services,236098-323,Child Placing Agency-Adoption Services,,817-335-4673,"Child Care,Respite Child Care",No,"Emotional Disorders,Mental Retardation,Primary Medical Needs,Pervasive Development Disorder",Full Permit,www.achservices.org
Gary Buff,No,No,No,TARRANT,Monday - Friday,,1139828,08:00 AM-05:00 PM,4/10/2014,-,"6320 SOUTHWEST BLVD STE 200 BENBROOK, TX 76109","6320 SOUTHWEST BLVD BENBROOK, TX 76109",0,0,0,1,0,0,3,2,0,2971,0,0,ACH Child and Family Services (SSCC),1536133-9771,Child Placing Agency-Adoption Services,,817-335-4673,Child Care,No,"Emotional Disorders,Primary Medical Needs",Full Permit,www.achservices.org
Rory Hall,No,No,No,TRAVIS,Monday - Friday,,260051,09:00 AM-05:00 PM,10/26/2004,-,"5511 PARKCREST DR STE 210 AUSTIN, TX 78731","5511 PARKCREST DR STE 210 AUSTIN, TX 78731",0,0,0,0,0,0,2,0,0,2881,0,0,Adoption Advocates,843584-44,Child Placing Agency-Adoption Services,"**On Friday the agency close at 4 PM Foster Care Tue, Wed, and Thur same hours during the day",512-477-1122,"Child Care,Respite Child Care",No,,Full Permit,www.AdoptionAdvocates.net
Janus Couve,No,No,No,BEXAR,Monday - Friday,januscouve@aol.com,104234,08:30 AM-05:30 PM,1/22/1988,-,"215 W OLMOS DR SAN ANTONIO, TX 78212","215 W OLMOS DR SAN ANTONIO, TX 78212",1,3,0,1,0,0,3,0,0,3821,0,0,Adoption Affiliates Inc,233208-314,Child Placing Agency-Adoption Services,,210-824-9939,Child Care,No,Primary Medical Needs,Full Permit,www.connectinghearts.org
Justin B. Johnson,No,No,No,BEXAR,Monday - Friday,,106797,08:30 AM-05:00 PM,1/10/1990,-,"7303 BLANCO RD SAN ANTONIO, TX 78216","7303 BLANCO RD SAN ANTONIO, TX 78216",0,0,0,0,0,0,2,0,0,1746,0,0,Adoption Alliance,243950-342,Child Placing Agency-Adoption Services,"Agency is very small; only does adoptions, no foster homes although permit has foster home on it for future purposes.",210-349-3991,Child Care,No,,Full Permit,www.adoption-alliance.com
Jacquelyn Tatum,No,No,No,HARRIS,Monday - Friday,aaao.1@juno.com,111418,06:00 AM-06:00 PM,6/2/1993,-,"12611 KINGSRIDE LN HOUSTON, TX 77024","3350 HIGHWAY 6 STE 273 SUGAR LAND, TX 77478",1,2,0,0,0,0,3,0,0,4264,0,2,Adoption As An Option Ltd,255681-77,Child Placing Agency-Adoption Services,,713-468-1053,Child Care,No,,Full Permit,
Amanda Way,No,No,No,BEXAR,Monday - Friday,info@adoptionpriorities.com,296822,09:00 AM-05:00 PM,11/6/2006,-,"5302 STORMY TRL SAN ANTONIO, TX 78247","14080 NACOGDOCHES RD # 351 SAN ANTONIO, TX 78247",1,0,0,0,2,0,4,2,0,2331,0,2,Adoption Priorities Inc,861366-3650,Child Placing Agency-Adoption Services,Friday 9:00 - 4:00,210-535-5386,Child Care,No,,Full Permit,www.adoptionpriorities.com
Heather Ann Ellis,No,No,No,DALLAS,"Mon, Tues, Wed, Thurs",main@christian-works.org,94283,08:00 AM-06:00 PM,4/18/1994,-,"5440 HARVEST HILL RD STE 140 DALLAS, TX 75230","5440 HARVEST HILL RD STE 140 DALLAS, TX 75230",0,1,0,1,3,5,3,0,0,2234,0,2,Adoption Works,18309-144,Child Placing Agency-Adoption Services,,972-960-9981,Child Care,No,,Full Permit,
Jacob Mathew,No,-,No,HARRIS,,agapehouston@yahoo.com,264974,,-,-,"10103 FONDREN RD STE 250 HOUSTON, TX 77096","10103 FERNSTONE LN STE 250 HOUSTON, TX 77070",3,10,3,8,9,2,65,38,0,2924,-,20,Agape Manor Home Child Placing Agency,860964-1306-1,Child Placing Agency  (Branch),,713-333-8686,,No,,,www.agapemanorhome.org
Jacob Mathew,No,No,No,DALLAS,Monday - Friday,agapemanorhome@yahoo.com,296126,08:00 AM-05:00 PM,5/26/2006,-,"3200 BROADWAY BLVD STE 360 GARLAND, TX 75043","3200 BROADWAY BLVD STE 360 GARLAND, TX 75043",3,12,1,6,10,0,44,31,4,3532,1,25,Agape Manor Home CPA,860964-1306,Child Placing Agency-Adoption Services,,972-840-8130,"Child Care,Transitional Living,Respite Child Care",No,"Emotional Disorders,Mental Retardation,Pervasive Development Disorder",Full Permit,www.agapemanorhome.org
Laurie Prater,No,No,No,TRAVIS,Monday - Friday,,111674,06:00 AM-06:00 PM,3/17/1993,-,"4150 FREIDRICH LN BLDG N AUSTIN, TX 78744","4150 FREIDRICH LN BLDG N AUSTIN, TX 78744",0,0,0,0,0,0,0,0,0,0,0,0,Alliance Adolescent and Children's SVCS,256006-85,Child Placing Agency-Adoption Services,,512-804-2338,"Child Care,Respite Child Care",No,"Emotional Disorders,Mental Retardation,Primary Medical Needs,Pervasive Development Disorder",Full Permit,www.thementornetwork.com
Ivory Pleasant,No,No,No,DALLAS,"Mon, Wed, Fri",info@amazinggracecfs.com,816489,11:00 AM-04:00 PM,2/16/2012,-,"402 W WHEATLAND RD STE 120 DUNCANVILLE, TX 75116","402 W WHEATLAND RD STE 120 DUNCANVILLE, TX 75116",0,6,0,3,4,1,33,22,0,4109,0,22,Amazing Grace Child and Family Services,1274286-7251,Child Placing Agency,,972-709-7527,"Child Care,Assessment,Transitional Living,Respite Child Care",No,Emotional Disorders,Full Permit,www.amazinggracecfs.com
Uneeda R. Newsome,No,No,No,HARRIS,Monday - Friday,utalley@americas-angels.com,855512,09:00 AM-05:00 PM,4/12/2012,-,"256 N SAM HOUSTON PKWY E STE 204 HOUSTON, TX 77060","256 N SAM HOUSTON PKWY E STE 204 HOUSTON, TX 77060",2,17,1,5,14,2,75,36,6,5145,0,30,America's Angels Inc.,1305387-7471,Child Placing Agency,"America's Angels will be closing early on Tuesday, November 25, at 3 pm. Our office will remain closed, Wednesday, Thursday, & Friday. Please call our on-call phone at 713-320-7447 and/or my cell at 713-806-6770, should there be an emergency situation during this closure. Thanks Please call cell phones and emergency numbers for assistance during this time frame.",713-936-0787,"Child Care,Respite Child Care",No,"Emotional Disorders,Mental Retardation,Pervasive Development Disorder",Full Permit,www.americas-angels.com
Mary Colbert,No,No,No,FORT BEND,"Mon, Tues, Wed, Thurs",,1095142,09:00 AM-04:00 PM,12/12/2013,-,"2723 MEADOWCREEK DR MISSOURI CITY, TX 77459","2723 MEADOWCREEK DR MISSOURI CITY, TX 77459",4,8,2,11,8,10,21,8,1,7358,0,11,"Angel Wings Family Services, Inc.",1500926-8311,Child Placing Agency-Adoption Services,,832-453-2793,"Child Care,Transitional Living,Respite Child Care",No,"Emotional Disorders,Mental Retardation,Primary Medical Needs,Pervasive Development Disorder",Full Permit,www.angelwingsfs.org
Sheila Falco,No,No,No,WILLIAMSON,Monday - Friday,,309775,08:00 AM-05:00 PM,1/12/2007,-,"2851 JOE DIMAGGIO BLVD STE 33 ROUND ROCK, TX 78665","2851 JOE DIMAGGIO BLVD STE 33 ROUND ROCK, TX 78665",0,3,0,0,7,0,38,25,3,2442,1,65,Angelheart Inc,868615-2574,Child Placing Agency-Adoption Services,,512-310-9857,"Child Care,Respite Child Care",No,"Emotional Disorders,Primary Medical Needs",Full Permit,www.angelheartkids.org
Sheila Falco,No,-,No,DALLAS,,sfalco@ahkids.org,284999,,-,-,"3242 SKYWAY CIR N IRVING, TX 75038","3242 SKYWAY CIR N IRVING, TX 75038",0,5,0,1,6,0,21,14,0,4902,-,33,"Angelheart, Inc.",868615-2574-1,Child Placing Agency  (Branch),,972-258-8100,,No,,,ahkids.org
Luis Ariel Olivan,No,No,No,MEDINA,Monday - Friday,luis@angelscrossingtx.org,266279,08:00 AM-05:00 PM,3/2/2006,-,"305 COUNTY ROAD 473 CASTROVILLE, TX 78009","305 COUNTY ROAD 473 CASTROVILLE, TX 78009",1,12,0,5,10,1,55,24,12,2070,0,45,Angels Crossing,846480-2749,Child Placing Agency-Adoption Services,,830-538-3456,"Child Care,Transitional Living",No,Emotional Disorders,Full Permit,angelscrossingtx.org
Brenda Tucker,No,No,No,DALLAS,"Tues, Wed",,262682,08:30 AM-04:30 PM,7/10/2006,-,"2930 E PEPPERIDGE DR LANCASTER, TX 75134","PO BOX 536172 GRAND PRAIRIE, TX 75053",1,3,1,2,4,0,16,10,0,2742,0,11,Antelope Valley Child Youth & Family Services CPA,844801-2449,Child Placing Agency-Adoption Services,,972-227-3500,Child Care,No,Emotional Disorders,Full Permit,www.avcyfs.org
Carolyn Hartsell,No,-,No,HARRIS,,scott.lundy@arrow.org,1114025,,-,-,"2929 FM 2920 RD SPRING, TX 77388","2929 FM 2920 RD SPRING, TX 77388",0,0,0,3,0,0,1,0,0,2310,-,0,Arrow Child & Family Ministries of Texas,856145-58-18,Child Placing Agency  (Branch),,281-210-1500,,No,,,www.arrow.org
Carolyn Hartsell,No,-,No,JEFFERSON,,,917724,,-,-,"2615 CALDER ST STE 120 BEAUMONT, TX 77702","2615 CALDER ST STE 120 BEAUMONT, TX 77702",2,7,0,6,9,3,8,5,1,3100,-,36,Arrow Child and Family Ministries,856145-58-16,Child Placing Agency  (Branch),,409-835-1864,,No,,,
Carolyn Hartsell,No,-,No,TARRANT,,jami.steiner@arrow.org,303602,,-,-,"5850 W I-20 STE 250 ARLINGTON, TX 76017","5850 W I-20 STE 250 ARLINGTON, TX 76017",5,13,0,3,7,0,40,28,1,2493,-,108,Arrow Child and Family Ministries of Texas,856145-58-12,Child Placing Agency  (Branch),,817-665-8880,,No,,,
Carolyn Hartsell,No,-,No,DALLAS,,Betsy.Pattullo@arrow.org,140185,,-,-,"1525 N INTERSTATE 35E STE 100 CARROLLTON, TX 75006","1525 N INTERSTATE 35E STE 100 CARROLLTON, TX 75006",0,5,1,2,6,0,22,10,2,2411,-,0,Arrow Child and Family Ministries of Texas,856145-58-1,Child Placing Agency  (Branch),,972-360-3700,,No,,,
Carolyn Hartsell,No,-,No,MCLENNAN,,,257785,,-,-,"1101 WOODED ACRES DR STE 111 WACO, TX 76710","1101 WOODED ACRES DR STE 111 WACO, TX 76710",0,4,1,4,12,0,35,16,10,2878,-,95,Arrow Child and Family Ministries of Texas,856145-58-10,Child Placing Agency  (Branch),,254-752-2100,,No,,,
Carolyn Hartsell,No,-,No,BRAZORIA,,fhall@arrow.org,243016,,-,-,"104 W MYRTLE ST STE 230 ANGLETON, TX 77515","104 W MYRTLE ST STE 230 ANGLETON, TX 77515",4,44,1,12,45,10,88,36,17,6580,-,87,Arrow Child and Family Ministries of Texas,856145-58-6,Child Placing Agency  (Branch),,979-848-1100,,No,,,fhall@arrow.org
Carolyn Hartsell,No,-,No,SMITH,,sstephens@Arrow.org,277983,,-,-,"4801 TROUP HWY STE 101 TYLER, TX 75703","4815 OLD JACKSONVILLE HWY TYLER, TX 75703",0,8,0,2,6,1,37,25,4,2451,-,42,Arrow Child and Family Ministries of Texas,856145-58-11,Child Placing Agency  (Branch),,903-581-5605,,No,,,
Carolyn Hartsell,No,-,No,TRAVIS,,,196637,,-,-,"500 E SAINT JOHNS AVE STE 2.400 AUSTIN, TX 78752","500 E SAINT JOHNS AVE STE 2.400 AUSTIN, TX 78752",0,7,0,0,4,0,28,13,7,2105,-,93,Arrow Child and Family Ministries of Texas,856145-58-3,Child Placing Agency  (Branch),,512-388-2400,,No,,,www.arrow.org
Carolyn Hartsell,No,No,No,HARRIS,Monday - Friday,scott.lundy@arrow.org,286945,08:30 AM-05:30 PM,12/19/2005,-,"2929 FM 2920 RD SPRING, TX 77388","2929 FM 2920 RD SPRING, TX 77388",2,34,3,14,42,15,85,34,18,11799,9,173,Arrow Child and Family Ministries of Texas,856145-58,Child Placing Agency-Adoption Services,,281-210-1500,"Child Care,Transitional Living",No,"Emotional Disorders,Mental Retardation,Primary Medical Needs",Full Permit,www.arrow.org
Carolyn Hartsell,No,-,No,RANDALL,,keith.howard@arrow.org,738590,,-,-,"4655 S FM 1258 AMARILLO, TX 79118","4655 S FM 1258 AMARILLO, TX 79118",1,3,0,3,4,3,14,10,0,2321,-,41,Arrow Child and Family Ministries of Texas,856145-58-15,Child Placing Agency  (Branch),,806-335-9138,,No,,,www.arrow.org
Jakema Deshaunda Matthis,No,No,No,DALLAS,"Mon, Tues, Wed, Thurs",assuringlovechildplacement@yahoo.com,954778,09:00 AM-05:00 PM,11/22/2012,-,"1636 N HAMPTON RD STE 215 DESOTO, TX 75115","1636 N HAMPTON RD STE 215 DESOTO, TX 75115",3,12,2,3,7,2,24,16,2,3369,0,23,Assuring Love Child Placement Agency,1387226-7731,Child Placing Agency-Adoption Services,"Effective March 7, 2013 this agency has moved to a new location; Office hours will be Monday through Thursday from 9am to 5pm;",214-837-6950,"Child Care,Respite Child Care",No,"Emotional Disorders,Primary Medical Needs",Full Permit,assuringlove.org
Sally Fussell,No,No,No,TRAVIS,Monday - Friday,,1104836,08:00 AM-05:00 PM,4/4/2014,-,"4800 MANOR RD AUSTIN, TX 78723","4800 MANOR RD AUSTIN, TX 78723",0,2,0,4,7,0,15,4,0,6181,0,4,Austin Children's Shelter,1509249-8531,Child Placing Agency-Adoption Services,,512-499-0090,"Child Care,Respite Child Care",No,Emotional Disorders,Full Permit,www.austinchildrenshelter.org
Chester Amidon,No,-,No,NACOGDOCHES,,azleway@gmail.com,230641,,-,-,"1100 SOUTH ST NACOGDOCHES, TX 75964","1100 SOUTH ST NACOGDOCHES, TX 75964",2,35,0,22,33,8,62,48,2,4607,-,28,Azleway Children's Services,510293-132-2,Child Placing Agency  (Branch),,936-205-5641,,No,,,www.azleway.org
Chester Amidon,No,-,No,NAVARRO,,,271120,,-,-,"800 N MAIN ST STE G CORSICANA, TX 75110","800 N MAIN ST STE G CORSICANA, TX 75110",1,6,0,3,8,1,15,7,0,4951,-,13,Azleway Children's Services,510293-132-3,Child Placing Agency  (Branch),,903-874-5500,,No,,,
Chester Amidon,No,-,No,TARRANT,,savannah.bell@azleway.org,192735,,-,-,"1201 W NORTH CARRIER PKWY STE 101 GRAND PRAIRIE, TX 75050","1201 W NORTH CARRIER PKWY STE 101 GRAND PRAIRIE, TX 75050",3,16,2,0,16,0,59,42,0,2556,-,45,Azleway Children's Services Grand Prairie,510293-132-1,Child Placing Agency  (Branch),,972-206-2885,,No,,Full Permit,www.azleway.org
Chester Amidon,No,No,Yes,SMITH,,chester.amidon@azleway.org,137451,-,2/5/1995,-,"15892 COUNTRY RD 26 TYLER, TX 75707","15892 COUNTY ROAD 26 TYLER, TX 75707",0,3,1,6,12,0,43,26,2,3894,4,27,Azleway Children's Services Tyler,510293-132,Child Placing Agency-Adoption Services,,903-566-8444,"Child Care,Transitional Living,Respite Child Care",No,"Emotional Disorders,Mental Retardation,Primary Medical Needs,Pervasive Development Disorder",Full Permit,www.azleway.org
Chester Amidon,No,-,No,HARRIS,,azleway@gmail.com,296021,,-,-,"19333 HIGHWAY 59 N STE 250 HUMBLE, TX 77338","19333 HIGHWAY 59 N HUMBLE, TX 77338",1,23,1,5,36,6,117,66,7,3096,-,61,Azleway INC,510293-132-4,Child Placing Agency  (Branch),,281-446-8038,,No,,,
Natalie Reeves,No,-,No,CAMERON,,,144985,,-,-,"1121 W VAN BUREN AVE HARLINGEN, TX 78550","1121 W VAN BUREN AVE HARLINGEN, TX 78550",0,2,1,2,5,1,49,12,17,1480,-,34,Bair Foundation,247527-347-11,Child Placing Agency  (Branch),,956-440-8225,,No,,,
Natalie Reeves,No,-,No,RANDALL,,,144303,,-,-,"7430 GOLDEN POND PL STE 400 AMARILLO, TX 79121","7430 GOLDEN POND PL STE 400 AMARILLO, TX 79121",0,1,0,0,3,1,46,27,7,1851,-,32,Bair Foundation,247527-347-6,Child Placing Agency  (Branch),,806-355-3882,,No,,,
Natalie Reeves,No,-,No,LUBBOCK,,,150894,,-,-,"3411 73RD ST LUBBOCK, TX 79423","3411 73RD ST LUBBOCK, TX 79423",0,3,0,0,2,0,19,9,1,1650,-,36,Bair Foundation,247527-347-7,Child Placing Agency  (Branch),,806-797-2247,,No,,,bair.org
Natalie Reeves,No,-,No,EL PASO,,,164754,,-,-,"6070 GATEWAY BLVD E STE 105 EL PASO, TX 79905","6070 GATEWAY BLVD E STE 105 EL PASO, TX 79905",2,8,0,4,14,2,34,10,6,3438,-,0,Bair Foundation - El Paso,247527-347-3,Child Placing Agency  (Branch),,915-771-9101,,No,,,
Natalie Reeves,No,No,No,BEXAR,Monday - Friday,jgraves@bair.org,107901,06:00 AM-06:00 PM,1/3/1990,-,"6025 FOUNTAINWOOD ST SAN ANTONIO, TX 78233","6025 FOUNTAINWOOD ST SAN ANTONIO, TX 78233",0,2,0,1,4,0,49,28,11,3131,7,65,Bair Foundation of Texas,247527-347,Child Placing Agency-Adoption Services,,210-494-3415,"Child Care,Assessment,Transitional Living,Respite Child Care",No,"Emotional Disorders,Mental Retardation,Primary Medical Needs,Pervasive Development Disorder",Full Permit,
Asennet Segura,No,No,No,BEXAR,Monday - Friday,sthompson@bcfs.net,95766,08:00 AM-06:00 PM,11/5/1998,-,"4241 WOODCOCK DR STE B203 SAN ANTONIO, TX 78228","4241 WOODCOCK DR STE B203 SAN ANTONIO, TX 78228",2,13,0,2,5,1,66,14,22,4506,0,78,BCHM Foster Family Services,68030-220,Child Placing Agency-Adoption Services,,210-674-3010,"Child Care,Transitional Living",No,Emotional Disorders,Full Permit,www.bcfs.net
Adriana Orozco,No,No,No,NUECES,Monday - Friday,,306864,-,11/9/2007,-,"3833 S ALAMEDA ST CORPUS CHRISTI, TX 78411","3833 S ALAMEDA ST CORPUS CHRISTI, TX 78411",0,4,0,3,2,3,8,3,1,2037,1,4,Beacon of Hope,866837-4110,Child Placing Agency-Adoption Services,,361-334-5357,"Child Care,Respite Child Care",No,"Emotional Disorders,Mental Retardation",Full Permit,orozco_adriana@yahoo.com
Adriana Orozco,No,-,No,CAMERON,,,388531,,-,-,"1021 S F ST HARLINGEN, TX 78550","1021 S F ST HARLINGEN, TX 78550",3,19,1,11,18,2,88,38,15,6584,-,25,Beacon Of Hope,866837-4110-1,Child Placing Agency  (Branch),,956-423-6500,,No,,,
Tori Renee Masters,No,No,No,BEXAR,Monday - Friday,,294285,08:30 AM-05:00 PM,6/20/2007,-,"1017 CENTRAL PKWY N STE 100 SAN ANTONIO, TX 78232","1017 CENTRAL PKWY N STE 100 SAN ANTONIO, TX 78232",1,8,0,3,5,0,57,25,13,3638,7,51,Benchmark Family Services,860008-3570,Child Placing Agency-Adoption Services,,210-495-4350,"Child Care,Respite Child Care",No,"Emotional Disorders,Mental Retardation,Primary Medical Needs,Pervasive Development Disorder",Full Permit,www.benchmarkfamilyservices.org
Tori Renee Masters,No,-,No,TRAVIS,,,854293,,-,-,"706B W BEN WHITE BLVD STE 220B AUSTIN, TX 78704","706B W BEN WHITE BLVD STE 220B AUSTIN, TX 78704",0,8,0,2,3,1,16,5,2,9475,-,13,Benchmark Family Services,860008-3570-9,Child Placing Agency  (Branch),,512-383-9001,,No,,,www.benchmarkfamilyservices.org
Eric D. Edwards,No,-,No,GALVESTON,,amandan.boyd@benchmarkfs.org,1157158,,-,-,"1100 GULF FWY S STE 120 LEAGUE CITY, TX 77573","1110 GULF FWY S STE 118 LEAGUE CITY, TX 77573",0,0,0,0,0,0,0,0,0,0,-,16,Benchmark Family Services,860008-3570-11,Child Placing Agency  (Branch),,832-932-5333,,No,,,www.benchmarkfamilyservices.org
Tori Renee Masters,No,-,No,GREGG,,,1132678,,-,-,"3506 W LOOP 281 STE 100 LONGVIEW, TX 75604","3506 W LOOP 281 STE 100 LONGVIEW, TX 75604",0,0,0,0,0,0,6,3,0,3135,-,8,Benchmark Family Services,860008-3570-10,Child Placing Agency  (Branch),,870-949-0909,,No,,,
Tori Renee Masters,No,-,No,HARRIS,,,494092,,-,-,"9800 NORTHWEST FWY STE 615 HOUSTON, TX 77092","9800 NORTHWEST FWY STE 615 HOUSTON, TX 77092",6,14,0,20,22,8,56,30,5,3791,-,32,Benchmark Family Services,860008-3570-3,Child Placing Agency  (Branch),,713-995-5118,,No,,,www.benchmarkfs.org
,No,-,No,DALLAS,,shay.ristau@benchmarkfs.org,719810,,-,-,"13140 COIT RD STE 320 DALLAS, TX 75240","13140 COIT RD STE 320 DALLAS, TX 75240",2,9,1,13,16,4,45,29,2,4115,-,62,Benchmark Family Services,860008-3570-7,Child Placing Agency  (Branch),,214-575-5145,,No,,,www.benchmarkfamilyservices.org
Tori Renee Masters,No,-,No,LUBBOCK,,,662008,,-,-,"7727 QUAKER AVE LUBBOCK, TX 79424","7727 QUAKER AVE LUBBOCK, TX 79424",0,8,0,3,6,2,31,13,6,5058,-,31,Benchmark Family Services,860008-3570-6,Child Placing Agency  (Branch),,806-795-0623,,No,,,
