Operation #,Operation/Caregiver Name,Address,City,State,Zip,County,Phone,Type,Status,Issue Date,Capacity,Email Address,Facility ID,Monitoring Frequency
"526950-428-3","A World For Children","2917 N 23RD ST ","MCALLEN","TX","78501","HIDALGO",956-683-9917,"Child Placing Agency (Branch)","Branch",-,-,"","240392",""
"219024","ABC Adoption Agency Inc","417 SAN PEDRO AVE ","SAN ANTONIO","TX","78212","BEXAR",210-227-7820,"Child Placing Agency","Full Permit",2/13/1987,-,"abc.adoption@yahoo.com","102290",""
"236098-323-1","ACH Child and Family Services","3291 W PIONEER PKWY ","PANTEGO","TX","76013","TARRANT",682-808-5050,"Child Placing Agency (Branch)","Branch",-,-,"","1019168",""
"236098","ACH Child and Family Services","3712 WICHITA ST ","FORT WORTH","TX","76119","TARRANT",817-335-4673,"Child Placing Agency","Full Permit",4/12/1988,-,"","104784",""
"1536133","ACH Child and Family Services (SSCC)","6320 SOUTHWEST BLVD STE 200","BENBROOK","TX","76109","TARRANT",817-335-4673,"Child Placing Agency","Full Permit",4/10/2014,-,"","1139828",""
"843584","Adoption Advocates","5511 PARKCREST DR STE 210","AUSTIN","TX","78731","TRAVIS",512-477-1122,"Child Placing Agency","Full Permit",10/26/2004,-,"","260051",""
"233208","Adoption Affiliates Inc","215 W OLMOS DR ","SAN ANTONIO","TX","78212","BEXAR",210-824-9939,"Child Placing Agency","Full Permit",1/22/1988,-,"januscouve@aol.com","104234",""
"243950","Adoption Alliance","7303 BLANCO RD ","SAN ANTONIO","TX","78216","BEXAR",210-349-3991,"Child Placing Agency","Full Permit",1/10/1990,-,"","106797",""
"255681","Adoption As An Option Ltd","12611 KINGSRIDE LN ","HOUSTON","TX","77024","HARRIS",713-468-1053,"Child Placing Agency","Full Permit",6/2/1993,-,"aaao.1@juno.com","111418",""
"861366","Adoption Priorities Inc","5302 STORMY TRL ","SAN ANTONIO","TX","78247","BEXAR",210-535-5386,"Child Placing Agency","Full Permit",11/6/2006,-,"info@adoptionpriorities.com","296822",""
"18309","Adoption Works","5440 HARVEST HILL RD STE 140","DALLAS","TX","75230","DALLAS",972-960-9981,"Child Placing Agency","Full Permit",4/18/1994,-,"main@christian-works.org","94283",""
"860964-1306-1","Agape Manor Home Child Placing Agency","10103 FONDREN RD STE 250","HOUSTON","TX","77096","HARRIS",713-333-8686,"Child Placing Agency (Branch)","Branch",-,-,"agapehouston@yahoo.com","264974",""
"860964","Agape Manor Home CPA","3200 BROADWAY BLVD STE 360","GARLAND","TX","75043","DALLAS",972-840-8130,"Child Placing Agency","Full Permit",5/26/2006,-,"agapemanorhome@yahoo.com","296126",""
"256006","Alliance Adolescent and Children's SVCS","4150 FREIDRICH LN BLDG N","AUSTIN","TX","78744","TRAVIS",512-804-2338,"Child Placing Agency","Full Permit",3/17/1993,-,"","111674",""
"1274286","Amazing Grace Child and Family Services","402 W WHEATLAND RD STE 120","DUNCANVILLE","TX","75116","DALLAS",972-709-7527,"Child Placing Agency","Full Permit",2/16/2012,-,"info@amazinggracecfs.com","816489",""
"1305387","America's Angels Inc.","256 N SAM HOUSTON PKWY E STE 204","HOUSTON","TX","77060","HARRIS",713-936-0787,"Child Placing Agency","Full Permit",4/12/2012,-,"utalley@americas-angels.com","855512",""
"1500926","Angel Wings Family Services, Inc.","2723 MEADOWCREEK DR ","MISSOURI CITY","TX","77459","FORT BEND",832-453-2793,"Child Placing Agency","Full Permit",12/12/2013,-,"","1095142",""
"868615","Angelheart Inc","2851 JOE DIMAGGIO BLVD STE 33","ROUND ROCK","TX","78665","WILLIAMSON",512-310-9857,"Child Placing Agency","Full Permit",1/12/2007,-,"","309775",""
"868615-2574-1","Angelheart, Inc.","3242 SKYWAY CIR N ","IRVING","TX","75038","DALLAS",972-258-8100,"Child Placing Agency (Branch)","Branch",-,-,"sfalco@ahkids.org","284999",""
"846480","Angels Crossing","305 COUNTY ROAD 473 ","CASTROVILLE","TX","78009","MEDINA",830-538-3456,"Child Placing Agency","Full Permit",3/2/2006,-,"luis@angelscrossingtx.org","266279",""
"844801","Antelope Valley Child Youth & Family Services CPA","2930 E PEPPERIDGE DR ","LANCASTER","TX","75134","DALLAS",972-227-3500,"Child Placing Agency","Full Permit",7/10/2006,-,"","262682",""
"856145-58-18","Arrow Child & Family Ministries of Texas","2929 FM 2920 RD ","SPRING","TX","77388","HARRIS",281-210-1500,"Child Placing Agency (Branch)","Branch",-,-,"scott.lundy@arrow.org","1114025",""
"856145-58-16","Arrow Child and Family Ministries","2615 CALDER ST STE 120","BEAUMONT","TX","77702","JEFFERSON",409-835-1864,"Child Placing Agency (Branch)","Branch",-,-,"","917724",""
"856145-58-12","Arrow Child and Family Ministries of Texas","5850 W I-20 STE 250","ARLINGTON","TX","76017","TARRANT",817-665-8880,"Child Placing Agency (Branch)","Branch",-,-,"jami.steiner@arrow.org","303602",""
"856145-58-1","Arrow Child and Family Ministries of Texas","1525 N INTERSTATE 35E STE 100","CARROLLTON","TX","75006","DALLAS",972-360-3700,"Child Placing Agency (Branch)","Branch",-,-,"Betsy.Pattullo@arrow.org","140185",""
"856145-58-10","Arrow Child and Family Ministries of Texas","1101 WOODED ACRES DR STE 111","WACO","TX","76710","MCLENNAN",254-752-2100,"Child Placing Agency (Branch)","Branch",-,-,"","257785",""
"856145-58-6","Arrow Child and Family Ministries of Texas","104 W MYRTLE ST STE 230","ANGLETON","TX","77515","BRAZORIA",979-848-1100,"Child Placing Agency (Branch)","Branch",-,-,"fhall@arrow.org","243016",""
"856145-58-11","Arrow Child and Family Ministries of Texas","4801 TROUP HWY STE 101","TYLER","TX","75703","SMITH",903-581-5605,"Child Placing Agency (Branch)","Branch",-,-,"sstephens@Arrow.org","277983",""
"856145-58-3","Arrow Child and Family Ministries of Texas","500 E SAINT JOHNS AVE STE 2.400","AUSTIN","TX","78752","TRAVIS",512-388-2400,"Child Placing Agency (Branch)","Branch",-,-,"","196637",""
"856145","Arrow Child and Family Ministries of Texas","2929 FM 2920 RD ","SPRING","TX","77388","HARRIS",281-210-1500,"Child Placing Agency","Full Permit",12/19/2005,-,"scott.lundy@arrow.org","286945",""
"856145-58-15","Arrow Child and Family Ministries of Texas","4655 S FM 1258 ","AMARILLO","TX","79118","RANDALL",806-335-9138,"Child Placing Agency (Branch)","Branch",-,-,"keith.howard@arrow.org","738590",""
"1387226","Assuring Love Child Placement Agency","1636 N HAMPTON RD STE 215","DESOTO","TX","75115","DALLAS",214-837-6950,"Child Placing Agency","Full Permit",11/22/2012,-,"assuringlovechildplacement@yahoo.com","954778",""
"1509249","Austin Children's Shelter","4800 MANOR RD ","AUSTIN","TX","78723","TRAVIS",512-499-0090,"Child Placing Agency","Full Permit",4/4/2014,-,"","1104836",""
"510293-132-2","Azleway Children's Services","1100 SOUTH ST ","NACOGDOCHES","TX","75964","NACOGDOCHES",936-205-5641,"Child Placing Agency (Branch)","Branch",-,-,"azleway@gmail.com","230641",""
"510293-132-3","Azleway Children's Services","800 N MAIN ST STE G","CORSICANA","TX","75110","NAVARRO",903-874-5500,"Child Placing Agency (Branch)","Branch",-,-,"","271120",""
"510293-132-1","Azleway Children's Services Grand Prairie","1201 W NORTH CARRIER PKWY STE 101","GRAND PRAIRIE","TX","75050","TARRANT",972-206-2885,"Child Placing Agency (Branch)","Branch",-,-,"savannah.bell@azleway.org","192735",""
"510293","Azleway Children's Services Tyler","15892 COUNTRY RD 26 ","TYLER","TX","75707","SMITH",903-566-8444,"Child Placing Agency","Full Permit",2/5/1995,-,"chester.amidon@azleway.org","137451",""
"510293-132-4","Azleway INC","19333 HIGHWAY 59 N STE 250","HUMBLE","TX","77338","HARRIS",281-446-8038,"Child Placing Agency (Branch)","Branch",-,-,"azleway@gmail.com","296021",""
"247527-347-11","Bair Foundation","1121 W VAN BUREN AVE ","HARLINGEN","TX","78550","CAMERON",956-440-8225,"Child Placing Agency (Branch)","Branch",-,-,"","144985",""
"247527-347-6","Bair Foundation","7430 GOLDEN POND PL STE 400","AMARILLO","TX","79121","RANDALL",806-355-3882,"Child Placing Agency (Branch)","Branch",-,-,"","144303",""
"247527-347-7","Bair Foundation","3411 73RD ST ","LUBBOCK","TX","79423","LUBBOCK",806-797-2247,"Child Placing Agency (Branch)","Branch",-,-,"","150894",""
"247527-347-3","Bair Foundation - El Paso","6070 GATEWAY BLVD E STE 105","EL PASO","TX","79905","EL PASO",915-771-9101,"Child Placing Agency (Branch)","Branch",-,-,"","164754",""
"247527","Bair Foundation of Texas","6025 FOUNTAINWOOD ST ","SAN ANTONIO","TX","78233","BEXAR",210-494-3415,"Child Placing Agency","Full Permit",1/3/1990,-,"jgraves@bair.org","107901",""
"68030","BCHM Foster Family Services","4241 WOODCOCK DR STE B203","SAN ANTONIO","TX","78228","BEXAR",210-674-3010,"Child Placing Agency","Full Permit",11/5/1998,-,"sthompson@bcfs.net","95766",""
"866837","Beacon of Hope","3833 S ALAMEDA ST ","CORPUS CHRISTI","TX","78411","NUECES",361-334-5357,"Child Placing Agency","Full Permit",11/9/2007,-,"","306864",""
"866837-4110-1","Beacon Of Hope","1021 S F ST ","HARLINGEN","TX","78550","CAMERON",956-423-6500,"Child Placing Agency (Branch)","Branch",-,-,"","388531",""
"860008","Benchmark Family Services","1017 CENTRAL PKWY N STE 100","SAN ANTONIO","TX","78232","BEXAR",210-495-4350,"Child Placing Agency","Full Permit",6/20/2007,-,"","294285",""
"860008-3570-9","Benchmark Family Services","706B W BEN WHITE BLVD STE 220B","AUSTIN","TX","78704","TRAVIS",512-383-9001,"Child Placing Agency (Branch)","Branch",-,-,"","854293",""
"860008-3570-11","Benchmark Family Services","1100 GULF FWY S STE 120","LEAGUE CITY","TX","77573","GALVESTON",832-932-5333,"Child Placing Agency (Branch)","Branch",-,-,"amandan.boyd@benchmarkfs.org","1157158",""
"860008-3570-10","Benchmark Family Services","3506 W LOOP 281 STE 100","LONGVIEW","TX","75604","GREGG",870-949-0909,"Child Placing Agency (Branch)","Branch",-,-,"","1132678",""
"860008-3570-3","Benchmark Family Services","9800 NORTHWEST FWY STE 615","HOUSTON","TX","77092","HARRIS",713-995-5118,"Child Placing Agency (Branch)","Branch",-,-,"","494092",""
"860008-3570-7","Benchmark Family Services","13140 COIT RD STE 320","DALLAS","TX","75240","DALLAS",214-575-5145,"Child Placing Agency (Branch)","Branch",-,-,"shay.ristau@benchmarkfs.org","719810",""
"860008-3570-6","Benchmark Family Services","7727 QUAKER AVE ","LUBBOCK","TX","79424","LUBBOCK",806-795-0623,"Child Placing Agency (Branch)","Branch",-,-,"","662008",""
"860008-3570-2","Benchmark Family Services","4416 N MCCOLL RD ","MCALLEN","TX","78504","HIDALGO",956-683-9035,"Child Placing Agency (Branch)","Branch",-,-,"","367128",""
"867676","Boys Town Texas, Inc.","503 URBAN LOOP ","SAN ANTONIO","TX","78204","BEXAR",210-271-1010,"Child Placing Agency","Full Permit",12/10/2007,-,"janie.cook@boystown.org","308341",""
"829787","Boysville Inc","8555 E LOOP 1604 N ","CONVERSE","TX","78109","BEXAR",210-659-1901,"Child Placing Agency","Full Permit",1/3/2005,-,"","229916",""
"868249","Brighter Visions Children and Family Ministries, Inc.","11500 NORTHWEST FWY STE 540","HOUSTON","TX","77092","HARRIS",832-453-2994,"Child Placing Agency","Full Permit",3/19/2008,-,"ddewalt@brighter-visions.org","309265",""
"232671-322-2","Buckner Baptist Childrens Home","1422 South Tyler Suite 100 -First Baptist Plaza","Amarillo","TX","79102","POTTER",806-373-1474,"Child Placing Agency (Branch)","Branch",-,-,"kmcgee@buckner.org","359688",""
"232671","Buckner Baptist Childrens Home","129 BRENTWOOD AVE ","LUBBOCK","TX","79416","LUBBOCK",806-795-7151,"Child Placing Agency","Full Permit",4/15/1988,-,"kmcgee@buckner.org","191502",""
"237929","Buckner Baptist Childrens Home","5200 S BUCKNER BLVD ","DALLAS","TX","75227","DALLAS",214-328-3141,"Child Placing Agency","Full Permit",5/5/1998,-,"dgraves@buckner.org","105204",""
"232671-322-3","Buckner Baptist Childrens Home","3780 N BENTSEN PALM DR ","MISSION","TX","78574","HIDALGO",956-585-4847,"Child Placing Agency (Branch)","Branch",-,-,"kmcgee@buckner.org","1143738",""
"549600","Buckner Children & Family Services Inc","110 E COTTON ST ","LONGVIEW","TX","75601","GREGG",903-757-9383,"Child Placing Agency","Full Permit",6/27/2001,-,"dsceroler@buckner.org","165741",""
"209976-260-1","Buckner Children and Family Services","3402 DANIEL MCCALL DR FRNT OFFICE","LUFKIN","TX","75904","ANGELINA",936-637-3300,"Child Placing Agency (Branch)","Branch",-,-,"wmcmillan@buckner.org","213092",""
"1283626","Buckner Children and Family Services, Inc.","425 W PECAN AVE ","MIDLAND","TX","79705","MIDLAND",432-520-5588,"Child Placing Agency","Full Permit",4/30/2012,-,"krobinson@buckner.org","828289",""
"209976-260-4","Buckner Children Village &Family","407 AVENUE F ","CONROE","TX","77301","MONTGOMERY",936-756-3639,"Child Placing Agency (Branch)","Branch",-,-,"smacon@buckner.org","1109081",""
"209976","Buckner Children Village &Family","9055 MANION DR ","BEAUMONT","TX","77706","JEFFERSON",409-866-0976,"Child Placing Agency","Full Permit",8/8/1985,-,"smacon@buckner.org","101277",""
"850516","Camelot Community Care Inc","1524 S I 35 STE 218","AUSTIN","TX","78704","TRAVIS",512-444-0900,"Child Placing Agency","Full Permit",7/20/2006,-,"","275037",""
"1556161","Caregivers Youth and Transitional Living Services","1506 W PIONEER PKWY STE 216","ARLINGTON","TX","76013","TARRANT",817-801-8844,"Child Placing Agency","Initial",11/21/2014,-,"caregivers.ytls@yahoo.com","1166493",""
"254529","Caring Adoptions","11601 KATY FWY STE 222","HOUSTON","TX","77079","HARRIS",281-920-4300,"Child Placing Agency","Full Permit",1/19/1994,-,"info@caringadoptions.org","110746",""
"1242666","Caring Hearts For Children","7680 HWY 377 ","COMANCHE","TX","76442","COMANCHE",325-356-3471,"Child Placing Agency","Full Permit",12/9/2011,-,"bhagood@caringheartsforchildren.org","777769",""
"203830","Casa De Esperanza De Los Ninos","2911A CORDER ST ","HOUSTON","TX","77054","HARRIS",713-529-0639,"Child Placing Agency","Full Permit",8/28/1987,-,"kfoster@casahope.org","100701",""
"31","Catholic Charities Of The Archdiocese Of Galveston -Houston","2900 LOUISIANA ST ","HOUSTON","TX","77006","HARRIS",713-526-4611,"Child Placing Agency","Full Permit",12/21/1985,-,"rkendrick@catholiccharities.org","94089",""
"841697","Cherokee Home For Children","State Hwy 16N P O Box 295","Cherokee","TX","76832","SAN SABA",325-622-4201,"Child Placing Agency","Full Permit",8/8/2005,-,"chc@centex.net","256061",""
"423","Children and Adoption Services","9461 LBJ FWY STE 110","DALLAS","TX","75243","DALLAS",214-526-2772,"Child Placing Agency","Full Permit",12/3/1985,-,"","94109",""
"1282326","Children of Diversity","13700 VETERANS MEMORIAL DR STE 100","HOUSTON","TX","77014","HARRIS",281-866-0851,"Child Placing Agency","Full Permit",2/28/2012,-,"","826389",""
"1498650","Children's Hope Residential Services, Inc. - CPA","4601 50TH ST STE 113","LUBBOCK","TX","79414","LUBBOCK",806-897-9735,"Child Placing Agency","Full Permit",3/26/2013,-,"rivera@childrenhp.org","1092364",""
"1498650-8291-3","Children's Hope Residential Services, Inc. - CPA","111 TAYLOR PLAZA DR ","GREENVILLE","TX","75402","HUNT",903-454-2627,"Child Placing Agency (Branch)","Branch",-,-,"","1149778",""
"1498650-8291-2","Children's Hope Residential Services, Inc. - CPA","1807 S BRYANT BLVD ","SAN ANGELO","TX","76903","TOM GREEN",325-227-4855,"Child Placing Agency (Branch)","Branch",-,-,"","1137262",""
"1498650-8291-6","Children's Hope Residential Services, Inc. - CPA","901 AVENUE B ","BROWNWOOD","TX","76801","BROWN",806-535-3268,"Child Placing Agency (Branch)","Branch",-,-,"nowell@childrenhp.org","1174579",""
"1498650-8291-5","Children's Hope Residential Services, Inc. - CPA","302 LORENALY DR STE F","BROWNSVILLE","TX","78526","CAMERON",956-455-6077,"Child Placing Agency (Branch)","Branch",-,-,"nowell@childrenhp.org","1169062",""
"1498650-8291-1","Children's Hope Residential Services, Inc. - CPA","1155 WESTMORELAND DR STE 215","EL PASO","TX","79925","EL PASO",915-881-1980,"Child Placing Agency (Branch)","Branch",-,-,"prieto@childrenhp.org","1113880",""
"849789","Childrens Shelter","2939 W WOODLAWN AVE ","SAN ANTONIO","TX","78228","BEXAR",210-212-2500,"Child Placing Agency","Full Permit",6/1/2005,-,"lpastrano@chshel.org","273495",""
"6628-122-3","Christian Homes and Family Services","5750 RUFE SNOW DR STE 149","NORTH RICHLAND HILLS","TX","76180","TARRANT",817-428-1441,"Child Placing Agency (Branch)","Branch",-,-,"attention@christianhomes.com","758192",""
"6628","Christian Homes of Abilene","1202 ESTATES DR ","ABILENE","TX","79602","TAYLOR",325-677-2205,"Child Placing Agency","Full Permit",9/4/1985,-,"attention@christianhomes.com","94180",""
"6628-122-2","Christian Homes Tyler","5476 HOLLYTREE DR ","TYLER","TX","75703","SMITH",903-509-0558,"Child Placing Agency (Branch)","Branch",-,-,"attention@christianhomes.com","95794",""
"17","Christs Haven For Children","4200 KELLER HASLET RD ","FORT WORTH","TX","76244","TARRANT",817-431-1544,"Child Placing Agency","Full Permit",4/17/1987,-,"administration@christshaven.org","94083",""
"1510001-8611-1","Circle of Living Hope","104 SIERRA GRANDE ST ","RED OAK","TX","75154","ELLIS",972-824-3073,"Child Placing Agency (Branch)","Branch",-,-,"","1132157",""
"1510001-8611-2","Circle of Living Hope","2685 N CORIA ST STE C6","BROWNSVILLE","TX","78520","CAMERON",956-404-5092,"Child Placing Agency (Branch)","Branch",-,-,"","1162306",""
"1510001","Circle of Living Hope","1216 ESTIVAL DR ","KYLE","TX","78640","HAYS",512-216-9615,"Child Placing Agency","Full Permit",4/18/2014,-,"","1105769",""
"546152","Circles of Care","5333 EVERHART RD STE 150B","CORPUS CHRISTI","TX","78411","NUECES",361-852-3812,"Child Placing Agency","Full Permit",2/25/2001,-,"","163171",""
"546152-513-4","Circles of Care","9535 FOREST LN STE 101A","DALLAS","TX","75243","DALLAS",214-242-9290,"Child Placing Agency (Branch)","Branch",-,-,"","1098554",""
"546152-513-1","Circles of Care","805 N MAIN ST STE B","SALADO","TX","76571","BELL",254-947-0030,"Child Placing Agency (Branch)","Branch",-,-,"","238561",""
"546152-513-3","Circles of Care","612 W NOLANA AVE STE 510","MCALLEN","TX","78504","HIDALGO",956-688-6948,"Child Placing Agency (Branch)","Branch",-,-,"","261138",""
"546152-513-2","Circles of Care","340 N SAM HOUSTON PKWY E STE 150","HOUSTON","TX","77060","HARRIS",281-260-6814,"Child Placing Agency (Branch)","Branch",-,-,"","256299",""
"546152-513-6","Circles of Care","5333 EVERHART RD STE 200B","CORPUS CHRISTI","TX","78411","NUECES",361-852-3812,"Child Placing Agency (Branch)","Branch",-,-,"","1173994",""
"546152-513-5","Circles of Care","709 ALTA VISTA DR STE 103","LAREDO","TX","78041","WEBB",956-724-5006,"Child Placing Agency (Branch)","Branch",-,-,"","1173760",""
"1554007","Community Based Alternatives","10945 ESTATE LN STE E105","DALLAS","TX","75238","DALLAS",214-791-3600,"Child Placing Agency","Initial",12/23/2014,-,"info@communitybasedalternatives.org","1163868",""
"811894-641-3","Covenant Kids, Inc.","710 E PARK BLVD STE 100","PLANO","TX","75074","COLLIN",972-424-9933,"Child Placing Agency (Branch)","Branch",-,-,"bill@covenantkids.org","295364",""
"811894","Covenant Kids, Inc.","320 WESTWAY PL STE 530","ARLINGTON","TX","76018","TARRANT",817-516-9100,"Child Placing Agency","Full Permit",11/18/2002,-,"bill@covenantkids.org","195565",""
"811894-641-5","Covenant Kids, Inc.","2550 BECKLEYMEADE AVE STE 100","DALLAS","TX","75237","DALLAS",214-888-4829,"Child Placing Agency (Branch)","Branch",-,-,"bill@covenantkids.org","1119984",""
"256357","Dallas Metrocare Services","1353 N WESTMORELAND RD BLDG A","DALLAS","TX","75211","DALLAS",214-333-7015,"Child Placing Agency","Full Permit",7/14/1999,-,"TFC@metrocareservices.org","111959",""
"1400486","DBA Caring Family Network","1812 CENTRE CREEK DR STE 210","AUSTIN","TX","78754","TRAVIS",512-719-3222,"Child Placing Agency","Full Permit",1/27/2012,-,"rprice@depelchin.org","969989",""
"1400486-7811-5","DBA Caring Family Network","2706 82ND ST ","LUBBOCK","TX","79423","LUBBOCK",806-745-3222,"Child Placing Agency (Branch)","Branch",-,-,"emartinez@depelchin.org","970050",""
"1400486-7811-4","DBA Caring Family Network","114 EARLY BLVD ","EARLY","TX","76802","BROWN",325-646-3222,"Child Placing Agency (Branch)","Branch",-,-,"","970044",""
"1400486-7811-3","DBA Caring Family Network","4204 GARDENDALE ST STE 301","SAN ANTONIO","TX","78229","BEXAR",210-691-3222,"Child Placing Agency (Branch)","Branch",-,-,"lrichards@depelchin.org","970040",""
"1400486-7811-2","DBA Caring Family Network","1812 CENTRE CREEK DR STE 200","AUSTIN","TX","78754","TRAVIS",512-719-3222,"Child Placing Agency (Branch)","Branch",-,-,"pgrose@depelchin.org","970037",""
"254653-35-4","Depelchin Children's Center","1600 LAKE FRONT CIR STE 204","THE WOODLANDS","TX","77380","MONTGOMERY",281-367-7707,"Child Placing Agency (Branch)","Branch",-,-,"info@depelchin.org","314519",""
"254653-35-3","DePelchin Children's Center","10435 GREENBOUGH DR STE 101","STAFFORD","TX","77477","FORT BEND",281-207-2377,"Child Placing Agency (Branch)","Branch",-,-,"info@depelchin.org","305037",""
"254653","Depelchin Children's Center","4950 MEMORIAL DR ","HOUSTON","TX","77007","HARRIS",713-861-8136,"Child Placing Agency","Full Permit",2/3/1995,-,"info@depelchin.org","110805",""
"816360-885-1","Devereux Texas Treatment Network","1150 DEVEREUX DR ","LEAGUE CITY","TX","77573","GALVESTON",281-335-1000,"Child Placing Agency (Branch)","Branch",-,-,"bshutter@devereux.org","1120855",""
"816360","Devereux Texas Treatment Network","120 DAVID WADE DR ","VICTORIA","TX","77905","VICTORIA",361-575-8271,"Child Placing Agency","Full Permit",3/25/2004,-,"bshutter@devereux.org","204261",""
"1533188","Divine Hands Children Services Inc","4131 MINERAL HAVEN DR ","HOUSTON","TX","77048","HARRIS",832-831-1339,"Child Placing Agency","Renewed Initial",10/16/2014,-,"Divinehandscs@yahoo.com","1135471",""
"1037686","Divinity Family Services","819 WATER ST STE 109","KERRVILLE","TX","78028","KERR",830-890-5838,"Child Placing Agency","Full Permit",10/5/2010,-,"rrose@divinityfamilyservices.com","526889",""
"1538985","Eckerd Youth Alternatives, Inc. d/b/a Eckerd","1601 E LAMAR BLVD STE 108","ARLINGTON","TX","76011","TARRANT",214-941-4435,"Child Placing Agency","Renewed Initial",12/29/2014,-,"","1144028",""
"246422","El Paso Center for Children","2200 N STEVENS ST ","EL PASO","TX","79930","EL PASO",915-565-5021,"Child Placing Agency","Full Permit",1/10/1990,-,"srioux@epccinc.org","107564",""
"1543191","EmberHope, Inc. DBA: Youthville Texas","4114 SW LOOP 410 ","SAN ANTONIO","TX","78227","BEXAR",210-441-0625,"Child Placing Agency","Renewed Initial",1/29/2015,-,"dbarron@youthville.org","1150296",""
"1548392","Exclusive Residential Care Services Inc.","6323 SOVEREIGN ST STE 172","SAN ANTONIO","TX","78229","BEXAR",210-399-8309,"Child Placing Agency","Initial",10/6/2014,-,"","1156795",""
"867939","FaithWorks Inc","1801 N HAMPTON RD STE 400","DESOTO","TX","75115","DALLAS",972-293-2500,"Child Placing Agency","Full Permit",5/2/2008,-,"","308754",""
"865810","Families Especial Inc","124 E BANDERA RD STE 402","BOERNE","TX","78006","KENDALL",830-816-2266,"Child Placing Agency","Full Permit",10/9/2006,-,"","304987",""
"849950","Family Link Treatment Services Inc.","13326 N HIGHWAY 183 ","GONZALES","TX","78629","GONZALES",830-875-6062,"Child Placing Agency","Full Permit",11/16/2006,-,"sondra@familylinkkids.com","273849",""
"549668","Family to Family  Adoptions  Inc","1000 AUSTIN ST STE B","RICHMOND","TX","77469","FORT BEND",281-342-4042,"Child Placing Agency","Full Permit",8/2/2001,-,"deb@fam2fam.org","165796",""
"900573","Forever Families","1231 LANTANA ESTATES CT ","FRESNO","TX","77545","FORT BEND",713-661-2626,"Child Placing Agency","Full Permit",1/9/2009,-,"sdavisfields@foreverfamiliesinc.org","361455",""
"838838","GENERATIONS ADOPTIONS","400 SCHROEDER DR ","WACO","TX","76710","MCLENNAN",254-741-1633,"Child Placing Agency","Full Permit",3/22/2005,-,"","249721",""
"994466","Good Hearts Youth & Family Services","2855 MANGUM RD STE 330","HOUSTON","TX","77092","HARRIS",281-298-4028,"Child Placing Agency","Full Permit",5/21/2010,-,"","476091",""
"994466-5931-2","Good Hearts Youth & Family Services","13740 RESEARCH BLVD STE 5","AUSTIN","TX","78750","WILLIAMSON",281-298-4028,"Child Placing Agency (Branch)","Branch",-,-,"bbrock@goodheartsyfs.org","1104405",""
"813012-705-1","Grace Manor Incorporated","414 S BROADWAY AVE ","TYLER","TX","75702","SMITH",,"Child Placing Agency (Branch)","Branch",-,-,"drdan@gracemanor.us","1148309",""
